Text,Topic,Emotion
"Nay làm lab môn Quản trị hệ thống dính lỗi cấu hình mạng mệt mỏi quá",Học tập,Căng thẳng
"Cuối cùng cũng leo rank Valorant lên Kim Cương, gánh còng lưng",Giải trí & Gaming,Vui vẻ
"Vừa cài xong con Ubuntu dual boot trên laptop chạy mượt thật sự",Khoa học & Công nghệ,Hào hứng
"Buồn quá nay tui bị điểm thấp môn Toán",Học tập,Buồn rầu
"Đang cày dở bộ truyện main thức tỉnh hệ thống kỹ năng bá đạo quá",Giải trí & Gaming,Hào hứng
"Setup xong cái server CentOS, terminal gõ sướng tay",Khoa học & Công nghệ,Vui vẻ
"Hôm nay trời Cần Thơ mưa to quá, nằm nhà trùm chăn là sướng nhất",Đời sống thường ngày,Thư giãn
"Đăng ký tín chỉ không được, bực mình cái server trường ghê",Học tập,Tức giận
"Mới build xong dàn PC RTX 3070 kéo game FPS bao mượt",Khoa học & Công nghệ,Hào hứng
"Roll mãi không ra nhân vật 5 sao trong WuWa, trầm cảm thực sự",Giải trí & Gaming,Buồn rầu
"Dạo này stress vì đồ án niên luận quá, code mãi không chạy",Học tập,Căng thẳng
"Ra quán net làm ván game xả stress cuối tuần",Giải trí & Gaming,Thư giãn
"Cấu hình Firebase cho web app bị lỗi rule mãi chưa fix xong",Khoa học & Công nghệ,Căng thẳng
"Đi dạo công viên hít thở không khí trong lành",Đời sống thường ngày,Thư giãn
"Trượt môn Cấu trúc dữ liệu rồi, chán nản quá đi mất",Học tập,Buồn rầu
"Hôm nay trúng mánh, nhặt được tiền rơi ngoài đường",Đời sống thường ngày,Vui vẻ
"Đang ngồi đọc tài liệu Machine Learning, khó hiểu nhưng rất cuốn",Khoa học & Công nghệ,Tập trung
"Cắm chuột chơi Minecraft cả đêm để xây xong cái lâu đài",Giải trí & Gaming,Hào hứng
"Bị CSGT tuýt còi phạt tiền, nhọ quá",Đời sống thường ngày,Tức giận
"Thầy giáo cho bài tập nhóm khó quá, cả team đang bù đầu",Học tập,Căng thẳng
"Nâng cấp RAM cho con laptop Legion xong chạy đa nhiệm sướng hẳn",Khoa học & Công nghệ,Vui vẻ
"Đọc truyện Manhwa cuốn quá thức trắng cả đêm",Giải trí & Gaming,Thư giãn
"Cơm sinh viên cuối tháng hết tiền, ăn mì tôm nghẹn ngào",Đời sống thường ngày,Buồn rầu
"Test thử code PHP thành công mỹ mãn, không một dòng lỗi đỏ",Khoa học & Công nghệ,Hào hứng